run_id,phase,bucket,symbol_sample,timeframe,window_start,window_end,profile,delta_summary,value_changes,trigger_score,chop_ci_max,chop_adx_min,structure_swing_len,retest_window_bars,retest_bps,rr_target,atr_stop_mult,be_enabled,be_trigger_r,be_offset_pct,sizing_mode,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,enable_profile_risk_cap,cooldown_bars,net_pnl_pct,net_pnl_usdt,profit_factor,max_dd_pct,total_trades,win_rate_pct,avg_trade_pct,commission_usdt,notes
MC-BASE-I,baseline,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,MidCap anchor baseline (promoted candidate),none,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Use this as control row for all deltas
MC-R1-TRIG,refine,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,Raise quality threshold only,trigger_score: 7.4 -> 7.6,7.6,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Expect fewer trades and improved PF if low-quality entries are filtered
MC-R2-HCONF,refine,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,Raise high-confidence tier threshold only,high_conf_score_threshold: 8.0 -> 8.2,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.2,TRUE,4,,,,,,,,,Expect lower exposure concentration and DD improvement
MC-R3-CHOP,refine,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,Tighten regime filter only,chop_ci_max: 60 -> 58; chop_adx_min: 18 -> 20,7.4,58,20,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Expect lower chop losses with possible trade-count reduction
MC-R4-RISKCAP,refine,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,Reduce high-tier risk only,risk_pct_high_conf: 2.0 -> 1.8,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,1.8,8.0,TRUE,4,,,,,,,,,Expect DD reduction with moderate net impact
MC-R5-BE,refine,MidCap-Momentum,SOLUSDT,4H,2022-01-01,now,I,Delay BE trigger only,be_trigger_r: 1.2 -> 1.4,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.4,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Test trend capture improvement vs extra giveback risk
MC-V1-AVAX,validate,MidCap-Momentum,AVAXUSDT,4H,2022-01-01,now,I,Validation on unseen coin (same params as best refine row),Use winner of MC-R1..R5 unchanged,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Generalization check #1
MC-V2-LINK,validate,MidCap-Momentum,LINKUSDT,4H,2022-01-01,now,I,Validation on unseen coin (same params as best refine row),Use winner of MC-R1..R5 unchanged,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Generalization check #2
MC-V3-XRP,validate,MidCap-Momentum,XRPUSDT,4H,2022-01-01,now,I,Validation on unseen coin (same params as best refine row),Use winner of MC-R1..R5 unchanged,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Generalization check #3
MC-V4-SUI,validate,MidCap-Momentum,SUIUSDT,4H,2022-01-01,now,I,Validation on unseen coin (same params as best refine row),Use winner of MC-R1..R5 unchanged,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Generalization check #4
