run_id,phase,bucket,symbol_sample,timeframe,window_start,window_end,profile,delta_summary,value_changes,trigger_score,chop_ci_max,chop_adx_min,structure_swing_len,retest_window_bars,retest_bps,rr_target,atr_stop_mult,be_enabled,be_trigger_r,be_offset_pct,sizing_mode,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,enable_profile_risk_cap,cooldown_bars,net_pnl_pct,net_pnl_usdt,profit_factor,max_dd_pct,total_trades,win_rate_pct,avg_trade_pct,commission_usdt,notes
BK-BASE-I,baseline,LargeCap-Trend,BTCUSDT,4H,2022-01-01,now,I,Intraday baseline control,none,7.2,61,17,3,24,20,2.0,1.4,TRUE,1.2,0.0,percent_of_equity,NA,NA,NA,NA,3,,,,,,,,,
BK-L1-I,liquidity-vol-buckets,LargeCap-Trend,BTCUSDT|ETHUSDT,4H,2022-01-01,now,I,Large-cap trend bucket defaults,Use BK-BASE-I + bucket params,7.0,64,14,3,28,22,2.2,1.4,TRUE,1.2,0.05,risk_based,0.5,2.0,7.8,TRUE,3,,,,,,,,,Expect smoother equity and lower chop false positives
BK-M1-I,liquidity-vol-buckets,MidCap-Momentum,SOLUSDT|LINKUSDT,4H,2022-01-01,now,I,Mid-cap momentum bucket defaults,Use BK-BASE-I + bucket params,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Expect better PF but fewer trades than baseline
BK-H1-C,liquidity-vol-buckets,HighBeta-Chop,APTUSDT|WIFUSDT,1H,2022-01-01,now,C,High-beta/chop bucket defaults,Switch to C profile + tighter filters,7.8,55,22,2,16,16,1.8,1.3,TRUE,1.0,0.05,risk_based,0.25,1.0,8.2,TRUE,5,,,,,,,,,Protect against fee-drag and noise in high-beta names
BK-S1-S,liquidity-vol-buckets,Swing-Stable,BTCUSDT|ETHUSDT,1D,2022-01-01,now,S,Swing stable bucket defaults,Switch to S profile + wider structure window,6.8,68,12,5,40,28,2.6,1.8,TRUE,1.0,0.1,risk_based,0.5,3.0,7.6,TRUE,6,,,,,,,,,Lower frequency / higher conviction swing setup
BK-L2-I,ablation,LargeCap-Trend,BTCUSDT|ETHUSDT,4H,2022-01-01,now,I,Ablation: tighten chop only,chop_ci_max:64->58; chop_adx_min:14->18,7.0,58,18,3,28,22,2.2,1.4,TRUE,1.2,0.05,risk_based,0.5,2.0,7.8,TRUE,3,,,,,,,,,Isolated regime-filter impact test
BK-M2-I,ablation,MidCap-Momentum,SOLUSDT|LINKUSDT,4H,2022-01-01,now,I,Ablation: raise trigger only,trigger_score:7.4->7.8,7.8,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Isolated quality-threshold impact test
BK-H2-C,ablation,HighBeta-Chop,APTUSDT|WIFUSDT,1H,2022-01-01,now,C,Ablation: lower risk tier only,risk_pct_low/high:0.25/1.0->0.2/0.8,7.8,55,22,2,16,16,1.8,1.3,TRUE,1.0,0.05,risk_based,0.2,0.8,8.2,TRUE,5,,,,,,,,,Isolated risk-scaling impact test
BK-S2-S,ablation,Swing-Stable,BTCUSDT|ETHUSDT,1D,2022-01-01,now,S,Ablation: BE later,be_trigger_r:1.0->1.4,6.8,68,12,5,40,28,2.6,1.8,TRUE,1.4,0.1,risk_based,0.5,3.0,7.6,TRUE,6,,,,,,,,,Test if delayed BE improves trend capture
BK-X1-I,cross-check,LargeCap-Trend,BNBUSDT,4H,2022-01-01,now,I,Cross-check candidate generalization,Use best LargeCap config from BK-L1/L2,7.0,64,14,3,28,22,2.2,1.4,TRUE,1.2,0.05,risk_based,0.5,2.0,7.8,TRUE,3,,,,,,,,,Validation on unseen but similar bucket asset
BK-X2-I,cross-check,MidCap-Momentum,AVAXUSDT,4H,2022-01-01,now,I,Cross-check candidate generalization,Use best MidCap config from BK-M1/M2,7.4,60,18,3,24,18,2.0,1.5,TRUE,1.2,0.0,risk_based,0.5,2.0,8.0,TRUE,4,,,,,,,,,Validation on unseen but similar bucket asset
BK-X3-C,cross-check,HighBeta-Chop,ARBUSDT,1H,2022-01-01,now,C,Cross-check candidate generalization,Use best HighBeta config from BK-H1/H2,7.8,55,22,2,16,16,1.8,1.3,TRUE,1.0,0.05,risk_based,0.25,1.0,8.2,TRUE,5,,,,,,,,,Validation on unseen but similar bucket asset
